participant_code,pair_condition,unordered_pair_index,human_unordered_pair_id,condition,position,family,env_id,variant,solved,attempts,first_attempt_success,first_attempt_x,first_attempt_y,success_attempt,success_x,success_y
H-79CE65EC,different_family,15,different_family_unordered_15,upward,2,Basic,6,original,True,2,False,231.0,521.0,2,47.0,513.0
H-82C49358,reflected,14,reflected_unordered_14,downward,1,FallingAlt,1,reflect_y,True,6,False,304.0,559.0,6,294.0,239.0
H-82C49358,reflected,14,reflected_unordered_14,downward,2,FallingAlt,1,original,True,3,False,311.0,238.0,3,301.0,237.0
H-50EC5B7F,different_family,7,different_family_unordered_07,upward,1,Basic,9,original,True,7,False,370.0,494.0,7,396.0,537.0
H-50EC5B7F,different_family,7,different_family_unordered_07,upward,2,BackUp,8,original,False,10,False,444.0,220.0,,,
H-22C33848,reflected,11,reflected_unordered_11,upward,1,Falling,1,original,True,7,False,555.0,549.0,7,312.0,100.0
H-22C33848,reflected,11,reflected_unordered_11,upward,2,Falling,1,reflect_y,True,1,True,345.0,132.0,1,345.0,132.0
H-A6EAFF33,same_family,10,same_family_unordered_10,downward,1,Basic,6,original,True,5,False,533.0,39.0,5,41.0,294.0
H-A6EAFF33,same_family,10,same_family_unordered_10,downward,2,Basic,7,original,True,3,False,337.0,84.0,3,525.0,72.0
H-9CD6744D,different_family,17,different_family_unordered_17,upward,1,Balance,5,original,True,6,False,241.0,378.0,6,253.0,41.0
H-9CD6744D,different_family,17,different_family_unordered_17,upward,2,Basic,10,original,True,5,False,360.0,44.0,5,556.0,57.0
H-22C33848,same_family,16,same_family_unordered_16,downward,1,FallingAlt,6,original,True,3,False,278.0,404.0,3,192.0,337.0
H-22C33848,same_family,16,same_family_unordered_16,downward,2,FallingAlt,9,original,True,2,False,150.0,516.0,2,146.0,440.0
H-28D9140D,different_family,4,different_family_unordered_04,downward,1,Balance,4,original,True,2,False,349.0,536.0,2,335.0,552.0
H-28D9140D,different_family,4,different_family_unordered_04,downward,2,BackUp,10,original,True,5,False,470.0,107.0,5,275.0,312.0
H-0451A708,same_family,3,same_family_unordered_03,upward,1,BackUp,3,original,True,1,True,255.0,413.0,1,255.0,413.0
H-0451A708,same_family,3,same_family_unordered_03,upward,2,BackUp,5,original,True,2,False,301.0,258.0,2,204.0,458.0
H-E9632268,reflected,20,reflected_unordered_20,downward,1,Remove,8,original,True,8,False,282.0,310.0,8,380.0,470.0
H-E9632268,reflected,20,reflected_unordered_20,downward,2,Remove,8,reflect_y,True,1,True,229.0,398.0,1,229.0,398.0
H-7BD53EC7,reflected,6,reflected_unordered_06,downward,1,Balance,10,reflect_y,True,1,True,322.0,234.0,1,322.0,234.0
H-7BD53EC7,reflected,6,reflected_unordered_06,downward,2,Balance,10,original,True,1,True,270.0,251.0,1,270.0,251.0
H-43B6F87C,different_family,2,different_family_unordered_02,downward,1,BalanceUnder,7,original,True,2,False,311.0,340.0,2,305.0,451.0
H-43B6F87C,different_family,2,different_family_unordered_02,downward,2,BackUp,7,original,True,3,False,297.0,513.0,3,327.0,42.0
H-FDD1C94F,different_family,15,different_family_unordered_15,upward,1,Basic,6,original,True,2,False,99.0,562.0,2,38.0,526.0
H-FDD1C94F,different_family,15,different_family_unordered_15,upward,2,Remove,6,original,True,2,False,39.0,529.0,2,374.0,511.0
H-398F4E0A,different_family,3,different_family_unordered_03,upward,1,FallingAlt,10,original,True,1,True,297.0,256.0,1,297.0,256.0
H-398F4E0A,different_family,3,different_family_unordered_03,upward,2,Balance,2,original,True,1,True,352.0,50.0,1,352.0,50.0
H-F7793CE8,same_family,18,same_family_unordered_18,downward,1,Prevention,10,original,True,9,False,54.0,316.0,9,288.0,393.0
H-F7793CE8,same_family,18,same_family_unordered_18,downward,2,Prevention,5,original,True,9,False,389.0,341.0,9,496.0,368.0
H-371E1C33,reflected,3,reflected_unordered_03,upward,1,BackUp,7,reflect_y,True,2,False,281.0,505.0,2,256.0,65.0
H-371E1C33,reflected,3,reflected_unordered_03,upward,2,BackUp,7,original,True,1,True,325.0,191.0,1,325.0,191.0
H-1FE48D1D,same_family,15,same_family_unordered_15,upward,1,FallingAlt,7,original,True,1,True,226.0,417.0,1,226.0,417.0
H-1FE48D1D,same_family,15,same_family_unordered_15,upward,2,FallingAlt,8,original,True,3,False,371.0,269.0,3,322.0,237.0
H-EEEE1CEB,different_family,10,different_family_unordered_10,downward,1,Falling,9,original,False,10,False,207.0,295.0,,,
H-EEEE1CEB,different_family,10,different_family_unordered_10,downward,2,FallingAlt,2,original,True,1,True,284.0,520.0,1,284.0,520.0
H-5FC1B414,different_family,10,different_family_unordered_10,downward,1,FallingAlt,2,original,True,2,False,149.0,468.0,2,259.0,464.0
H-5FC1B414,different_family,10,different_family_unordered_10,downward,2,Falling,9,original,True,3,False,250.0,298.0,3,175.0,127.0
H-4A00DCFB,same_family,20,same_family_unordered_20,downward,1,Remove,6,original,True,2,False,390.0,410.0,2,369.0,394.0
H-4A00DCFB,same_family,20,same_family_unordered_20,downward,2,Remove,7,original,True,2,False,381.0,284.0,2,423.0,292.0
H-BE2AC38C,reflected,10,reflected_unordered_10,downward,1,Basic,2,original,False,10,False,247.0,111.0,,,
H-BE2AC38C,reflected,10,reflected_unordered_10,downward,2,Basic,2,reflect_y,True,5,False,558.0,298.0,5,308.0,62.0
H-2A5CD3B7,same_family,4,same_family_unordered_04,downward,1,Balance,4,original,True,1,True,426.0,498.0,1,426.0,498.0
H-2A5CD3B7,same_family,4,same_family_unordered_04,downward,2,Balance,8,original,True,3,False,378.0,436.0,3,374.0,561.0
H-FDAFEF96,same_family,1,same_family_unordered_01,upward,1,BackUp,8,original,False,10,False,485.0,224.0,,,
H-FDAFEF96,same_family,1,same_family_unordered_01,upward,2,BackUp,6,original,True,1,True,268.0,438.0,1,268.0,438.0
H-B79C4169,reflected,15,reflected_unordered_15,upward,1,FallingAlt,4,original,False,10,False,293.0,352.0,,,
H-B79C4169,reflected,15,reflected_unordered_15,upward,2,FallingAlt,4,reflect_y,True,4,False,305.0,262.0,4,243.0,263.0
H-531F5AC9,different_family,5,different_family_unordered_05,upward,1,BalanceUnder,6,original,True,4,False,185.0,162.0,4,140.0,151.0
H-531F5AC9,different_family,5,different_family_unordered_05,upward,2,Prevention,2,original,False,10,False,51.0,328.0,,,
H-FDD1C94F,same_family,14,same_family_unordered_14,downward,1,FallingAlt,4,original,True,2,False,345.0,377.0,2,284.0,259.0
H-FDD1C94F,same_family,14,same_family_unordered_14,downward,2,FallingAlt,10,original,True,1,True,216.0,438.0,1,216.0,438.0
H-C3A9B5E6,same_family,10,same_family_unordered_10,downward,1,Basic,7,original,False,10,False,280.0,122.0,,,
H-C3A9B5E6,same_family,10,same_family_unordered_10,downward,2,Basic,6,original,True,1,True,43.0,449.0,1,43.0,449.0
H-43B6F87C,same_family,20,same_family_unordered_20,downward,1,Remove,7,original,False,10,False,340.0,516.0,,,
H-43B6F87C,same_family,20,same_family_unordered_20,downward,2,Remove,6,original,True,1,True,381.0,427.0,1,381.0,427.0
H-26DD7E4D,different_family,11,different_family_unordered_11,upward,1,BalanceUnder,5,original,True,7,False,403.0,225.0,7,305.0,147.0
H-26DD7E4D,different_family,11,different_family_unordered_11,upward,2,FallingAlt,7,original,False,10,False,333.0,428.0,,,
H-EC01F97B,same_family,14,same_family_unordered_14,downward,1,FallingAlt,10,original,True,3,False,261.0,429.0,3,169.0,519.0
H-EC01F97B,same_family,14,same_family_unordered_14,downward,2,FallingAlt,4,original,True,4,False,359.0,458.0,4,288.0,261.0
H-B4D5D10E,reflected,3,reflected_unordered_03,upward,1,BackUp,7,original,True,6,False,184.0,543.0,6,373.0,193.0
H-B4D5D10E,reflected,3,reflected_unordered_03,upward,2,BackUp,7,reflect_y,True,1,True,214.0,261.0,1,214.0,261.0
H-05830BE0,same_family,15,same_family_unordered_15,upward,1,FallingAlt,8,original,True,6,False,283.0,239.0,6,319.0,242.0
H-05830BE0,same_family,15,same_family_unordered_15,upward,2,FallingAlt,7,original,True,1,True,329.0,248.0,1,329.0,248.0
H-2EC17A94,same_family,6,same_family_unordered_06,downward,1,Balance,7,original,True,7,False,369.0,424.0,7,467.0,427.0
H-2EC17A94,same_family,6,same_family_unordered_06,downward,2,Balance,1,original,True,5,False,166.0,192.0,5,153.0,477.0
H-A4D6C180,reflected,15,reflected_unordered_15,upward,1,FallingAlt,4,reflect_y,False,10,False,496.0,138.0,,,
H-A4D6C180,reflected,15,reflected_unordered_15,upward,2,FallingAlt,4,original,True,5,False,328.0,237.0,5,361.0,240.0
H-5D5D26FF,different_family,17,different_family_unordered_17,upward,1,Basic,10,original,False,10,False,366.0,430.0,,,
H-5D5D26FF,different_family,17,different_family_unordered_17,upward,2,Balance,5,original,False,10,False,81.0,172.0,,,
H-B7A986C6,reflected,18,reflected_unordered_18,downward,1,Prevention,8,original,True,2,False,88.0,335.0,2,561.0,559.0
H-B7A986C6,reflected,18,reflected_unordered_18,downward,2,Prevention,8,reflect_y,True,1,True,43.0,530.0,1,43.0,530.0
H-0C472D7D,different_family,12,different_family_unordered_12,downward,1,BackUp,6,original,True,2,False,321.0,445.0,2,254.0,450.0
H-0C472D7D,different_family,12,different_family_unordered_12,downward,2,Prevention,7,original,True,1,True,236.0,482.0,1,236.0,482.0
H-C954E412,same_family,5,same_family_unordered_05,upward,1,Balance,5,original,True,6,False,314.0,327.0,6,297.0,39.0
H-C954E412,same_family,5,same_family_unordered_05,upward,2,Balance,10,original,True,1,True,380.0,44.0,1,380.0,44.0
H-B38A5910,reflected,16,reflected_unordered_16,downward,1,FallingAlt,9,original,True,2,False,285.0,430.0,2,146.0,438.0
H-B38A5910,reflected,16,reflected_unordered_16,downward,2,FallingAlt,9,reflect_y,True,3,False,444.0,468.0,3,419.0,480.0
H-4ED0E2AA,reflected,7,reflected_unordered_07,upward,1,BalanceUnder,2,reflect_y,True,5,False,349.0,274.0,5,248.0,277.0
H-4ED0E2AA,reflected,7,reflected_unordered_07,upward,2,BalanceUnder,2,original,True,2,False,348.0,274.0,2,404.0,257.0
H-1D82355D,different_family,3,different_family_unordered_03,upward,1,Balance,2,original,False,10,False,191.0,168.0,,,
H-1D82355D,different_family,3,different_family_unordered_03,upward,2,FallingAlt,10,original,True,3,False,167.0,285.0,3,282.0,267.0
H-D2FF6FBD,reflected,11,reflected_unordered_11,upward,1,Falling,1,reflect_y,True,2,False,370.0,337.0,2,306.0,111.0
H-D2FF6FBD,reflected,11,reflected_unordered_11,upward,2,Falling,1,original,True,1,True,228.0,113.0,1,228.0,113.0
H-C60D199D,different_family,18,different_family_unordered_18,downward,1,Falling,10,original,True,1,True,278.0,519.0,1,278.0,519.0
H-C60D199D,different_family,18,different_family_unordered_18,downward,2,Balance,8,original,True,2,False,419.0,424.0,2,425.0,560.0
H-4A875A8B,reflected,5,reflected_unordered_05,upward,1,Balance,7,original,True,5,False,364.0,423.0,5,113.0,341.0
H-4A875A8B,reflected,5,reflected_unordered_05,upward,2,Balance,7,reflect_y,True,1,True,484.0,342.0,1,484.0,342.0
H-26DD7E4D,same_family,1,same_family_unordered_01,upward,1,BackUp,6,original,False,10,False,83.0,389.0,,,
H-26DD7E4D,same_family,1,same_family_unordered_01,upward,2,BackUp,8,original,False,10,False,459.0,269.0,,,
H-56F6E121,reflected,16,reflected_unordered_16,downward,1,FallingAlt,9,reflect_y,True,2,False,476.0,532.0,2,430.0,487.0
H-56F6E121,reflected,16,reflected_unordered_16,downward,2,FallingAlt,9,original,True,2,False,177.0,483.0,2,106.0,445.0
H-4A2E3CE9,different_family,9,different_family_unordered_09,upward,1,Falling,8,original,True,2,False,72.0,318.0,2,71.0,117.0
H-4A2E3CE9,different_family,9,different_family_unordered_09,upward,2,FallingAlt,3,original,True,3,False,351.0,247.0,3,396.0,224.0
H-8F4123F9,same_family,8,same_family_unordered_08,downward,1,BalanceUnder,6,original,True,5,False,498.0,203.0,5,300.0,294.0
H-8F4123F9,same_family,8,same_family_unordered_08,downward,2,BalanceUnder,3,original,True,8,False,249.0,322.0,8,38.0,307.0
H-5C9552E1,reflected,14,reflected_unordered_14,downward,1,FallingAlt,1,original,True,8,False,335.0,436.0,8,303.0,259.0
H-5C9552E1,reflected,14,reflected_unordered_14,downward,2,FallingAlt,1,reflect_y,False,10,False,261.0,253.0,,,
H-E8CAF2ED,reflected,10,reflected_unordered_10,downward,1,Basic,2,reflect_y,True,5,False,175.0,411.0,5,321.0,47.0
